;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;04.05.2022 13:21:48;;0171;Fehler;;1;27,429;45,893;;4,692;0,326
;04.05.2022 13:25:00;;0172;Fehler;;1;27,153;45,925;;4,685;0,321
;04.05.2022 13:25:43;;0173;Fehler;;1;27,426;45,894;;4,688;0,275
;04.05.2022 13:26:07;;0174;Fehler;;1;27,438;45,936;;4,694;0,296
;04.05.2022 13:26:46;;0175;Fehler;;1;27,454;45,918;;4,678;0,333
;04.05.2022 13:27:17;;0176;Fehler;;1;27,412;45,940;;4,693;0,286
;04.05.2022 13:28:12;;0177;Fehler;;1;27,399;45,884;;4,691;0,376
;04.05.2022 13:28:37;;0178;Fehler;;1;27,415;45,910;;4,688;0,291
;04.05.2022 13:29:21;;0179;Fehler;;1;27,396;45,877;;4,691;0,295
;04.05.2022 13:30:03;;0180;Fehler;;1;27,408;45,924;;4,689;0,296
;04.05.2022 13:34:47;;0181;Fehler;;1;10,314;45,868;;4,698;0,545
;04.05.2022 13:35:22;;0182;Fehler;;1;27,771;45,914;;4,690;0,533
;04.05.2022 13:35:57;;0183;Fehler;;1;27,404;45,938;;4,695;0,272
;04.05.2022 13:36:29;;0184;Fehler;;1;27,440;45,913;;4,694;0,279
;04.05.2022 13:37:03;;0185;Fehler;;1;27,457;45,930;;4,697;0,542
;04.05.2022 13:37:39;;0186;Fehler;;1;27,429;45,968;;4,697;0,322
;04.05.2022 13:38:16;;0187;Fehler;;1;27,416;45,919;;4,696;0,525
;04.05.2022 13:38:51;;0188;Fehler;;1;27,391;45,922;;4,700;0,298
;04.05.2022 13:39:26;;0189;Fehler;;1;27,447;45,919;;4,695;0,316
;04.05.2022 13:40:00;;0190;Fehler;;1;27,447;45,942;;4,696;0,280
;04.05.2022 13:44:23;;0191;Fehler;;1;27,630;45,934;;4,693;0,310
;04.05.2022 13:44:55;;0192;Fehler;;1;27,412;45,960;;4,692;0,276
;04.05.2022 13:45:31;;0193;Fehler;;1;27,965;45,947;;4,697;0,262
;04.05.2022 13:46:07;;0194;Fehler;;1;27,818;45,936;;4,704;0,306
;04.05.2022 13:46:43;;0195;Fehler;;1;27,402;45,947;;4,697;0,313
