Charge;Nummer;Mittenrauwert;Quadratischer Mittelwert;Rautiefe;Höhe;Breite;E-Modul;Zugfestigkeit;Dehnung bei Zugfestigkeit;Maximalspannung;Bruchspannung;Maximalkraft;Dehnung bei Maximalspannung;Bruchdehnung;Anfangsfläche;Angaben zum Bruch
-;-;Ra;Rq;Rz;h;b;Et;sY;eY;sM;sB;FM;eM;eB;A0;-
-;-;-;-;-;mm;mm;MPa;MPa;%;MPa;MPa;N;%;%;mm²;-
19;245;0.079;0.104;0.708;4.05;9.65;2444.93868;66.4973596;4.09752798;66.4973596;43.263521;2598.88306;4.09752798;40.8175934;39.0825;break
20;252;0.122;0.152;0.733;4.04;9.62;2444.60484;66.5154552;4.05298567;66.5154552;40.6979836;2585.10986;4.05298567;33.1546661;38.8648;break
20;253;0.164;0.206;1.054;4.04;9.58;2474.61591;67.8069752;4.1538415;67.8069752;42.4525696;2624.34692;4.1538415;49.956673;38.7032;break
20;254;0.525;0.698;2.386;4.04;9.58;2444.99252;67.2219125;4.15206957;67.2219125;57.0527318;2601.70313;4.15206957;4.67363024;38.7032;break
20;255;0.208;0.295;1.222;4.05;9.63;2457.73372;66.7405283;4.14845657;66.7405283;44.3806298;2602.98071;4.14845657;50.0115793;39.0015;break
20;256;0.135;0.173;0.642;4.04;9.61;2453.17259;67.2065292;4.13418436;67.2065292;44.2815746;2609.25317;4.13418436;51.4164798;38.8244;break
20;257;0.265;0.389;1.656;4.05;9.57;2453.49349;66.9647464;4.13735533;66.9647464;39.2296949;2595.45313;4.13735533;50.518196;38.7585;break
20;258;1.266;1.523;5.488;4.05;9.61;2460.90199;67.0398972;4.12994957;67.0398972;41.7520489;2609.22632;4.12994957;44.8282697;38.9205;break
20;259;0.989;1.172;3.669;4.04;9.62;2457.0609;67.2152344;4.17147827;67.2152344;42.5426604;2612.30664;4.17147827;50.9186653;38.8648;break
20;260;0.093;0.121;0.645;4.05;9.61;2428.19128;66.6118348;4.15785551;66.6118348;42.6608902;2592.56592;4.15785551;63.6256569;38.9205;break
20;261;0.121;0.149;0.809;4.05;9.61;2453.34663;67.1811293;4.13565207;67.1811293;42.7644417;2614.72314;4.13565207;52.1567322;38.9205;break
21;268;0.117;0.161;1.003;4.03;9.58;2499.3597;67.6619875;4.05660629;67.6619875;44.6780398;2612.25342;4.05660629;45.0831732;38.6074;break
21;269;0.273;0.348;1.131;4.04;9.64;2460.10527;67.1708243;4.10887575;67.1708243;43.326238;2616.00806;4.10887575;50.3381924;38.9456;break
21;270;0.193;0.265;1.461;4.04;9.62;2405.31452;66.7792905;4.08743048;66.7792905;42.2443537;2595.36377;4.08743048;29.5586617;38.8648;break
21;271;0.171;0.233;1.164;4.04;9.61;2467.03581;67.2290163;4.11026001;67.2290163;44.9134795;2610.12622;4.11026001;76.9059657;38.8244;break
21;272;0.142;0.195;1.343;4.04;9.61;2482.5739;67.2077366;4.14508247;67.2077366;42.5100641;2609.30005;4.14508247;37.2946234;38.8244;break
21;273;0.231;0.314;1.498;4.04;9.62;2465.71582;67.2709602;4.1399107;67.2709602;39.8268026;2614.47241;4.1399107;46.8553539;38.8648;break
21;274;0.108;0.135;0.711;4.04;9.61;2484.39028;67.4407507;4.14370966;67.4407507;42.1039009;2618.34668;4.14370966;43.5045692;38.8244;break
21;275;0.115;0.154;0.781;4.04;9.64;2474.41089;67.2994718;4.12108135;67.2994718;41.2736202;2621.01831;4.12108135;52.5559338;38.9456;break
21;276;0.404;0.486;1.854;4.04;9.63;2474.05748;67.0965523;4.06187201;67.0965523;41.8591806;2610.40479;4.06187201;42.7574146;38.9052;break
21;277;0.125;0.162;0.929;4.03;9.63;2491.81093;67.6332232;4.13623619;67.6332232;42.5730473;2624.771;4.13623619;35.2066873;38.8089;break
22;283;0.087;0.110;0.732;4.05;9.61;2393.27324;66.9112295;4.1015048;66.9112295;43.3043512;2604.21851;4.1015048;62.6968472;38.9205;break
