;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;06.05.2022 11:18:28;;0094;Fehler;;1;27,532;45,947;;4,690;0,217
;06.05.2022 11:19:02;;0095;Fehler;;1;27,520;45,946;;4,672;0,192
;06.05.2022 11:19:36;;0096;Fehler;;1;27,484;45,948;;4,683;0,199
;06.05.2022 11:20:12;;0097;Fehler;;1;27,458;45,929;;4,693;0,173
;06.05.2022 11:20:45;;0098;Fehler;;1;27,436;45,945;;4,695;0,190
;06.05.2022 11:21:19;;0099;Fehler;;1;27,482;45,950;;4,699;0,208
;06.05.2022 11:21:54;;0100;Fehler;;1;28,018;45,948;;4,705;0,200
;06.05.2022 11:22:30;;0101;Fehler;;1;27,535;45,933;;4,707;0,210
;06.05.2022 11:23:04;;0102;Fehler;;1;27,474;45,950;;4,706;0,218
;06.05.2022 11:23:39;;0103;Fehler;;1;27,513;45,945;;4,709;0,229
;06.05.2022 11:25:04;;0104;Fehler;;1;27,405;45,703;;4,689;0,302
;06.05.2022 11:25:45;;0105;Fehler;;1;28,144;45,939;;4,679;0,200
;06.05.2022 11:26:13;;0106;Fehler;;1;27,243;45,930;;4,679;0,209
;06.05.2022 11:26:49;;0107;Fehler;;1;28,064;45,943;;4,686;0,278
;06.05.2022 11:27:26;;0108;Fehler;;1;27,603;45,949;;4,661;0,219
;06.05.2022 11:27:58;;0109;Fehler;;1;27,631;45,925;;4,689;0,263
;06.05.2022 11:28:33;;0110;Fehler;;1;27,576;45,942;;4,690;0,247
;06.05.2022 11:29:11;;0111;Fehler;;1;27,654;45,931;;4,688;0,233
;06.05.2022 11:30:03;;0112;Fehler;;1;27,548;45,840;;4,689;0,224
;06.05.2022 11:30:49;;0113;Fehler;;1;28,099;45,918;;4,682;0,334
;06.05.2022 11:31:23;;0114;Fehler;;1;21,044;45,911;;4,685;0,248
;06.05.2022 11:31:37;;0115;Fehler;;1;85,164;45,884;;4,683;0,243
;06.05.2022 11:32:04;;0116;Fehler;;1;27,715;45,914;;4,686;0,244
;06.05.2022 11:32:26;;0117;Fehler;;1;27,718;45,937;;4,689;0,252
;06.05.2022 11:32:59;;0118;Fehler;;1;27,612;45,961;;4,695;0,307
;06.05.2022 11:33:34;;0119;Fehler;;1;27,649;45,951;;4,696;0,244
;06.05.2022 11:34:09;;0120;Fehler;;1;27,620;45,945;;4,697;0,225
;06.05.2022 11:35:06;;0121;Fehler;;1;27,508;45,867;;4,689;0,228
;06.05.2022 11:35:46;;0122;Fehler;;1;28,327;45,932;;4,685;0,272
;06.05.2022 11:36:24;;0123;Fehler;;1;27,574;45,913;;4,690;0,518
;06.05.2022 11:36:55;;0124;Fehler;;1;27,604;45,931;;4,694;0,262
;06.05.2022 11:37:26;;0125;Fehler;;1;27,630;45,931;;4,688;0,235
;06.05.2022 11:38:02;;0126;Fehler;;1;27,620;45,944;;4,689;0,248
;06.05.2022 11:38:36;;0127;Fehler;;1;27,586;45,945;;4,690;0,254
;06.05.2022 11:39:12;;0128;Fehler;;1;27,527;45,947;;4,688;0,240
;06.05.2022 11:39:46;;0129;Fehler;;1;27,590;45,947;;4,695;0,234
;06.05.2022 11:40:44;;0130;Fehler;;1;27,388;45,857;;4,695;0,222
